공간정보일련번호,격자분류명,격자명,공간정보
77,50000_A,NI52-04-31,MULTIPOLYGON (((127.4999938398962 34.25005579781132  127.74999188242599 34.25005579781132  127.74999188242599 34.00005782409394  127.4999938398962 34.00005782409394  127.4999938398962 34.25005579781132)))
96,50000_A,NI52-04-11,MULTIPOLYGON (((126.4999942570493 34.750077235074556  126.74999229957909 34.750077235074556  126.74999229957909 34.50007926135718  126.4999942570493 34.50007926135718  126.4999942570493 34.750077235074556)))
91,50000_A,NI52-04-17,MULTIPOLYGON (((125.9999962093594 34.50007941776886  126.2499942518893 34.50007941776886  126.2499942518893 34.25008144405148  125.9999962093594 34.25008144405148  125.9999962093594 34.50007941776886)))
127,50000_A,NI52-02-29,MULTIPOLYGON (((128.9999965559826 35.250043358757964  129.24999459851242 35.250043358757964  129.24999459851242 35.000045385040586  128.9999965559826 35.000045385040586  128.9999965559826 35.250043358757964)))
94,50000_A,NI52-04-14,MULTIPOLYGON (((127.2499918749518 34.75005175180848  127.4999899174816 34.75005175180848  127.4999899174816 34.5000537780911  127.2499918749518 34.5000537780911  127.2499918749518 34.75005175180848)))
95,50000_A,NI52-04-12,MULTIPOLYGON (((126.7499938272619 34.750051908220165  126.9999918697918 34.750051908220165  126.9999918697918 34.50005393450278  126.7499938272619 34.50005393450278  126.7499938272619 34.750051908220165)))
135,50000_A,NI52-02-15,MULTIPOLYGON (((129.5000039309773 35.7500021200997  129.7500019735071 35.7500021200997  129.7500019735071 35.500004146382324  129.5000039309773 35.500004146382324  129.5000039309773 35.7500021200997)))
125,50000_A,NI52-02-31,MULTIPOLYGON (((129.5000039309773 35.25000617266495  129.7500019735071 35.25000617266495  129.7500019735071 35.00000819894757  129.5000039309773 35.00000819894757  129.5000039309773 35.25000617266495)))
126,50000_A,NI52-02-30,MULTIPOLYGON (((129.2500039258173 35.25000632907663  129.50000196834708 35.25000632907663  129.50000196834708 35.00000835535925  129.2500039258173 35.00000835535925  129.2500039258173 35.25000632907663)))
132,50000_A,NI52-02-23,MULTIPOLYGON (((129.5000039309773 35.500004146382324  129.7500019735071 35.500004146382324  129.7500019735071 35.25000617266495  129.5000039309773 35.25000617266495  129.5000039309773 35.500004146382324)))
133,50000_A,NI52-02-22,MULTIPOLYGON (((129.2500039258173 35.500004302794  129.50000196834708 35.500004302794  129.50000196834708 35.25000632907663  129.2500039258173 35.25000632907663  129.2500039258173 35.500004302794)))
97,50000_A,NI52-04-10,MULTIPOLYGON (((126.2499962145195 34.750077235074556  126.4999942570493 34.750077235074556  126.4999942570493 34.50007926135718  126.2499962145195 34.50007926135718  126.2499962145195 34.750077235074556)))
98,50000_A,NI52-04-09,MULTIPOLYGON (((125.9999962093594 34.750077391486236  126.2499942518893 34.750077391486236  126.2499942518893 34.50007941776886  125.9999962093594 34.50007941776886  125.9999962093594 34.750077391486236)))
137,50000_A,NI52-02-08,MULTIPOLYGON (((129.7500019735071 36.00000009381708  130.00000001603692 36.00000009381708  130.00000001603692 35.7500021200997  129.7500019735071 35.7500021200997  129.7500019735071 36.00000009381708)))
138,50000_A,NI52-02-07,MULTIPOLYGON (((129.50000196834708 36.00000025022876  129.7500000108769 36.00000025022876  129.7500000108769 35.75000227651138  129.50000196834708 35.75000227651138  129.50000196834708 36.00000025022876)))
139,50000_A,NI52-02-06,MULTIPOLYGON (((129.2500039258173 36.00000025022876  129.50000196834708 36.00000025022876  129.50000196834708 35.75000227651138  129.2500039258173 35.75000227651138  129.2500039258173 36.00000025022876)))
162,50000_A,NJ51-12-24,MULTIPOLYGON (((125.7500019602023 36.500000013377225  126.00000000273208 36.500000013377225  126.00000000273208 36.250002039659854  125.7500019602023 36.250002039659854  125.7500019602023 36.500000013377225)))
163,50000_A,NJ51-12-23,MULTIPOLYGON (((125.5000039098185 36.50000410164044  125.7500019523484 36.50000410164044  125.7500019523484 36.25000612792307  125.5000039098185 36.25000612792307  125.5000039098185 36.50000410164044)))
164,50000_A,NJ51-12-22,MULTIPOLYGON (((125.25000390465851 36.500004258052115  125.5000019471883 36.500004258052115  125.5000019471883 36.25000628433475  125.25000390465851 36.25000628433475  125.25000390465851 36.500004258052115)))
165,50000_A,NJ51-12-16,MULTIPOLYGON (((125.7500019523484 36.75000207535782  125.9999999948782 36.75000207535782  125.9999999948782 36.50000410164044  125.7500019523484 36.50000410164044  125.7500019523484 36.75000207535782)))
174,50000_A,NJ52-10-19,MULTIPOLYGON (((126.5000027158452 36.49998338505271  126.750000758375 36.49998338505271  126.750000758375 36.249985411335324  126.5000027158452 36.249985411335324  126.5000027158452 36.49998338505271)))
175,50000_A,NJ52-10-18,MULTIPOLYGON (((126.2500046654614 36.4999874733159  126.5000027079912 36.4999874733159  126.5000027079912 36.249989499598534  126.2500046654614 36.249989499598534  126.2500046654614 36.4999874733159)))
176,50000_A,NJ52-10-17,MULTIPOLYGON (((126.0000046603014 36.49998762972759  126.25000270283121 36.49998762972759  126.25000270283121 36.249989656010214  126.0000046603014 36.249989656010214  126.0000046603014 36.49998762972759)))
177,50000_A,NJ52-10-10,MULTIPOLYGON (((126.2500046654614 36.74998544703328  126.5000027079912 36.74998544703328  126.5000027079912 36.4999874733159  126.2500046654614 36.4999874733159  126.2500046654614 36.74998544703328)))
178,50000_A,NJ52-10-09,MULTIPOLYGON (((126.0000046603014 36.74998560344497  126.25000270283121 36.74998560344497  126.25000270283121 36.49998762972759  126.0000046603014 36.49998762972759  126.0000046603014 36.74998560344497)))
166,50000_A,NJ51-12-15,MULTIPOLYGON (((125.5000039098185 36.75000207535782  125.7500019523484 36.75000207535782  125.7500019523484 36.50000410164044  125.5000039098185 36.50000410164044  125.5000039098185 36.75000207535782)))
168,50000_A,NJ51-12-08,MULTIPOLYGON (((125.7500019523484 37.000000049075204  125.9999999948782 37.000000049075204  125.9999999948782 36.75000207535782  125.7500019523484 36.75000207535782  125.7500019523484 37.000000049075204)))
